REGION_ID,REGION_NAME
"1","TN-HI"
"2","OR-EM"
"3","VT-UJ"
"4","MN-ML"
"5","CA-LB"
"6","GA-ZL"
"7","RI-YS"
"8","ME-CE"
"9","AK-VG"
"10","NE-KW"
"11","NH-DJ"
"12","AZ-GH"
"13","VT-KL"
"14","IL-VC"
"15","ID-XE"
"16","KS-AX"
"17","ID-UY"
"18","NC-RT"
"19","SC-GB"
"20","CO-BQ"
"21","MI-IZ"
"22","DE-YJ"
"23","MI-EN"
"24","AR-SS"
"25","AR-FN"
"26","TX-UU"
"27","NY-WF"
"28","MD-DW"
"29","DE-QS"
"30","NH-UM"
"31","MA-VU"
"32","NH-EB"
"33","UT-KZ"
"34","OH-AQ"
"35","MT-DH"
"36","OK-VB"
"37","OK-KL"
"38","MN-TR"
"39","SC-SX"
"40","ME-YO"
"41","WA-WA"
"42","AK-KX"
"43","AZ-TX"
"44","AR-TM"
"45","GA-MO"
"46","WA-FZ"
"47","NY-PW"
"48","AZ-IZ"
"49","AZ-OJ"
"50","DE-LR"
